 
 ~~~~~~~~~~~~~~~~~~~ жПуМх╚ф╚╡Н ~~~~~~~~~~~~~~~~~~~~
         юОЁл/m  ╣Вг╟╦ъЁл/mm  ╣Вг╟ф╫цФ/mm  ╣Вг╟к╝ф╫/mm  ╣Вг╟╧Л╬Ю/mm  ╣╪оР╧Л  ╣ВвС╧Л╦ъ/mm  ╣Вср╧Л╦ъ/mm  ╣ВвСф╫цФ/mm  ╣Всрф╫цФ/mm   ╣В╨С╦ъЁл/mm  ╣В╨Сф╫цФ/mm  ╣В╨Ск╝ф╫/mm  ╣В╨С╧Л╬Ю/mm  иХ╪фЁ╛╦ъ/mm
      1892.003        -.168         .959        2.477         .646     ср          2.636         .159        1.696        1.051        -.009        -.092           0.           0.         .000
      1892.600        -.550         .523        1.999        1.100     ср          2.543         .544        1.717         .617        -.006        -.094           0.           0.         .000
      1893.197        -.929         .061        1.422        1.100     ср          2.347         .925        1.257         .157        -.004        -.096           0.           0.         .000
      1893.794        -.975         .125         .944         .788     ср          1.917         .973        1.010         .222        -.001        -.097           0.           0.         .000
      1894.391       -1.242         .357         .700         .166     ср          1.944        1.244         .622         .456         .001        -.099           0.           0.         .000
      1894.988       -1.155        1.035         .600        -.523     ср          1.759        1.159         .614        1.136         .004        -.101           0.           0.         .000
      1895.585       -1.333        1.565         .600        -.900     ср          1.940        1.340         .768        1.668         .007        -.103           0.           0.         .000
      1896.182       -2.420        2.039         .400       -1.000     ср          2.829        2.429        1.144        2.144         .009        -.105           0.           0.         .000
      1896.779       -2.846        2.072         .155        -.655     ср          3.014        2.858        1.523        2.179         .012        -.107           0.           0.         .000
      1897.376       -2.798        2.406         .100        -.278     ср          2.913        2.813        2.237        2.515         .015        -.109           0.           0.         .000
      1897.973       -2.252        2.824         .400        -.100     ср          2.670        2.270        2.835        2.935         .017        -.111           0.           0.         .000
      1898.570       -1.690        3.120         .878         .100     ср          2.588        1.710        3.333        3.233         .020        -.113           0.           0.         .000
      1899.167       -1.219        3.040        1.455         .355     ср          2.697        1.242        3.511        3.155         .022        -.115           0.           0.         .000
      1899.764       -1.159        2.593        1.833         .533     ср          3.017        1.184        3.242        2.709         .025        -.117           0.           0.         .000
      1900.361        -.977        2.254        2.011         .600     ср          3.016        1.005        2.973        2.373         .028        -.118           0.           0.         .000
      1900.958        -.239        2.195        2.189         .500     ср          2.458         .269        2.816        2.316         .030        -.120           0.           0.         .000
      1901.555         .073        2.587        2.366         .400     ср          2.326        -.040        3.109        2.709         .033        -.122           0.           0.         .000
      1902.151         .324        3.353        2.600        -.144     ср          2.312        -.288        3.333        3.477         .036        -.124           0.           0.         .000
      1902.748         .339        3.726        2.700        -.322     ср          2.399        -.301        3.531        3.852         .038        -.126           0.           0.         .000
      1903.345         .244        3.597        2.700        -.400     ср          2.497        -.203        3.325        3.725         .041        -.128           0.           0.         .000
      1903.942         .390        3.419        2.600        -.200     ср          2.254        -.346        3.349        3.549         .043        -.130           0.           0.         .000
      1904.542         .561        3.369        2.500        -.100     ср          1.985        -.515        3.401        3.501         .046        -.132           0.           0.         .000
      1905.141         .782        3.487        2.636        -.436     ср          1.903        -.733        3.184        3.620         .049        -.134           0.           0.         .000
      1905.740         .970        3.483        2.800        -.816     ср          1.882        -.918        2.803        3.618         .051        -.136           0.           0.         .000
      1906.340        1.427        3.278        2.900        -.705     ср          1.527       -1.373        2.711        3.416         .054        -.138           0.           0.         .000
      1906.939        1.853        2.650        2.800        -.425     ср          1.003       -1.797        2.364        2.790         .057        -.139           0.           0.         .000
      1907.538        2.012        1.975        2.646         .008     ср           .693       -1.953        2.125        2.117         .059        -.141           0.           0.         .000
      1908.137        2.094        1.666        2.700         .200     ср           .668       -2.032        2.009        1.809         .062        -.143           0.           0.         .000
      1908.737        2.208        1.446        2.813         .087     ср           .670       -2.144        1.678        1.591         .064        -.145           0.           0.         .000
      1909.336        2.244        1.008        3.093        -.200     ср           .916       -2.177         .955        1.155         .067        -.147           0.           0.         .000
      1909.935        2.056         .054        3.100        -.100     ср          1.114       -1.986         .103         .203         .070        -.149           0.           0.         .000
