 
 ~~~~~~~~~~~~~~~~~~~ ÖðÕíÈ«Æ«²î ~~~~~~~~~~~~~~~~~~~~
         Àï³Ì/m  µ÷Ç°¸ß³Ì/mm  µ÷Ç°Æ½Ãæ/mm  µ÷Ç°Ë®Æ½/mm  µ÷Ç°¹ì¾à/mm  µ¼Ïò¹ì  µ÷×ó¹ì¸ß/mm  µ÷ÓÒ¹ì¸ß/mm  µ÷×óÆ½Ãæ/mm  µ÷ÓÒÆ½Ãæ/mm   µ÷ºó¸ß³Ì/mm  µ÷ºóÆ½Ãæ/mm  µ÷ºóË®Æ½/mm  µ÷ºó¹ì¾à/mm  Éè¼Æ³¬¸ß/mm
      1830.706        -.969        1.560         .019         .400     ×ó           .998         .978        1.330         .930         .029         .230           0.           0.         .000
      1831.301        -.496        2.025        -.256         .256     ×ó           .525         .781        1.790        1.534         .029         .235           0.           0.         .000
      1831.895         .127        2.512        -.500         .300     ×ó          -.097         .403        2.273        1.973         .030         .239           0.           0.         .000
      1832.489         .511        2.710        -.607         .400     ×ó          -.480         .126        2.466        2.066         .031         .244           0.           0.         .000
      1833.084         .570        2.557        -.700         .318     ×ó          -.539         .161        2.309        1.991         .031         .248           0.           0.         .000
      1833.678         .298        2.343        -.600         .100     ×ó          -.266         .334        2.090        1.990         .032         .253           0.           0.         .000
      1834.272        -.324        2.419        -.200        -.100     ×ó           .356         .556        2.162        2.262         .032         .257           0.           0.         .000
      1834.867        -.586        3.069         .208         .008     ×ó           .619         .410        2.808        2.799         .033         .262           0.           0.         .000
      1835.461        -.769        3.846         .584         .284     ×ó           .803         .219        3.579        3.296         .033         .266           0.           0.         .000
      1836.055        -.952        3.944         .600         .400     ×ó           .986         .386        3.673        3.273         .034         .271           0.           0.         .000
      1836.649       -1.219        3.495         .500         .466     ×ó          1.254         .754        3.219        2.754         .035         .275           0.           0.         .000
      1837.244       -1.485        2.987         .400         .300     ×ó          1.520        1.120        2.707        2.407         .035         .280           0.           0.         .000
      1837.838       -1.517        2.717         .400         .100     ×ó          1.553        1.153        2.433        2.333         .036         .284           0.           0.         .000
      1838.432       -1.575        2.683         .400         .000     ×ó          1.612        1.212        2.394        2.394         .036         .289           0.           0.         .000
      1839.027       -1.384        2.704         .400        -.036     ×ó          1.421        1.021        2.411        2.447         .037         .293           0.           0.         .000
      1839.621        -.984        2.433         .089        -.100     ×ó          1.022         .933        2.135        2.235         .037         .298           0.           0.         .000
      1840.215        -.655        1.950        -.287        -.200     ×ó           .693         .979        1.648        1.848         .038         .302           0.           0.         .000
      1840.810        -.111        1.568        -.762        -.300     ×ó           .150         .912        1.261        1.561         .038         .307           0.           0.         .000
      1841.404         .379        1.620       -1.037        -.263     ×ó          -.340         .697        1.308        1.571         .039         .312           0.           0.         .000
      1841.998         .989        1.954       -1.100         .000     ×ó          -.950         .150        1.638        1.638         .040         .316           0.           0.         .000
      1842.593        1.407        2.431       -1.100         .200     ×ó         -1.366        -.266        2.111        1.911         .040         .321           0.           0.         .000
      1843.187        1.465        2.728        -.900         .200     ×ó         -1.424        -.524        2.403        2.203         .041         .325           0.           0.         .000
      1843.781        1.350        2.491        -.761         .539     ×ó         -1.309        -.548        2.162        1.623         .041         .330           0.           0.         .000
      1844.376        1.060        2.236        -.600         .714     ×ó         -1.018        -.418        1.902        1.188         .042         .334           0.           0.         .000
      1844.970         .540        1.802        -.500         .789     ×ó          -.498         .002        1.463         .674         .042         .339           0.           0.         .000
      1845.564         .463        1.580        -.300         .535     ×ó          -.420        -.120        1.237         .702         .043         .343           0.           0.         .000
      1846.158         .278        1.400        -.060         .160     ×ó          -.234        -.174        1.052         .892         .044         .348           0.           0.         .000
      1846.753         .191        1.233         .200         .000     ×ó          -.147        -.347         .881         .881         .044         .352           0.           0.         .000
      1847.347         .034         .867         .200         .000     ×ó           .010        -.190         .510         .510         .045         .357           0.           0.         .000
      1847.941         .187         .323         .200        -.066     ×ó          -.141        -.341        -.038         .028         .045         .361           0.           0.         .000
      1848.536         .499         .334         .100        -.158     ×ó          -.453        -.553        -.032         .126         .046         .366           0.           0.         .000
      1849.130         .667         .352         .100        -.100     ×ó          -.620        -.720        -.019         .081         .046         .370           0.           0.         .000
      1849.724        1.119         .424         .008        -.292     ×ó         -1.072       -1.080         .049         .341         .047         .375           0.           0.         .000
      1850.319        1.371         .451        -.100        -.568     ×ó         -1.324       -1.224         .072         .640         .048         .379           0.           0.         .000
      1850.913        1.023         .166        -.443        -.800     ×ó          -.975        -.532        -.218         .582         .048         .384           0.           0.         .000
      1851.507         .505        -.088        -.718        -.682     ×ó          -.456         .262        -.476         .205         .049         .388           0.           0.         .000
      1852.102        -.116        -.106        -.994        -.400     ×ó           .165        1.159        -.499        -.099         .049         .393           0.           0.         .000
      1852.696        -.636         .064        -.831        -.269     ×ó           .686        1.517        -.333        -.064         .050         .397           0.           0.         .000
      1853.290        -.890         .237        -.556        -.444     ×ó           .940        1.496        -.165         .279         .050         .402           0.           0.         .000
      1853.884       -1.076         .073        -.080        -.920     ×ó          1.127        1.207        -.333         .586         .051         .407           0.           0.         .000
      1854.479       -1.120         .063         .295       -1.200     ×ó          1.171         .876        -.348         .852         .052         .411           0.           0.         .000
