 
 ~~~~~~~~~~~~~~~~~~~ ÖðÕíÈ«Æ«²î ~~~~~~~~~~~~~~~~~~~~
         Àï³Ì/m  µ÷Ç°¸ß³Ì/mm  µ÷Ç°Æ½Ãæ/mm  µ÷Ç°Ë®Æ½/mm  µ÷Ç°¹ì¾à/mm  µ¼Ïò¹ì  µ÷×ó¹ì¸ß/mm  µ÷ÓÒ¹ì¸ß/mm  µ÷×óÆ½Ãæ/mm  µ÷ÓÒÆ½Ãæ/mm   µ÷ºó¸ß³Ì/mm  µ÷ºóÆ½Ãæ/mm  µ÷ºóË®Æ½/mm  µ÷ºó¹ì¾à/mm  Éè¼Æ³¬¸ß/mm
      2883.626        2.878       -2.457         .200        -.100     ×ó         -1.389       -1.589        -.842        -.742        1.489       -1.614           0.           0.         .000
      2884.221        2.773       -2.777         .100        -.100     ×ó         -1.289       -1.389       -1.129       -1.029        1.484       -1.649           0.           0.         .000
      2884.816        2.780       -2.661         .300        -.100     ×ó         -1.300       -1.600        -.978        -.878        1.480       -1.683           0.           0.         .000
      2885.410        3.032       -2.193         .600         .100     ×ó         -1.557       -2.157        -.476        -.576        1.476       -1.717           0.           0.         .000
      2886.005        3.270       -1.904         .800         .312     ×ó         -1.798       -2.598        -.153        -.465        1.472       -1.751           0.           0.         .000
      2886.599        3.377       -1.640         .900         .600     ×ó         -1.910       -2.810         .146        -.454        1.467       -1.786           0.           0.         .000
      2887.194        3.272       -1.503         .963         .900     ×ó         -1.810       -2.773         .317        -.583        1.463       -1.820           0.           0.         .000
      2887.788        3.054       -1.560        1.000        1.239     ×ó         -1.595       -2.595         .294        -.945        1.459       -1.854           0.           0.         .000
      2888.383        2.949       -1.670        1.000        1.200     ×ó         -1.495       -2.495         .219        -.981        1.454       -1.888           0.           0.         .000
      2888.977        2.739       -2.161        1.000        1.110     ×ó         -1.289       -2.289        -.238       -1.348        1.450       -1.923           0.           0.         .000
      2889.572        2.520       -2.578         .800         .834     ×ó         -1.074       -1.874        -.621       -1.455        1.446       -1.957           0.           0.         .000
      2890.166        2.523       -2.989         .500         .800     ×ó         -1.081       -1.581        -.997       -1.797        1.441       -1.991           0.           0.         .000
      2890.761        2.450       -3.222         .183         .800     ×ó         -1.013       -1.196       -1.196       -1.996        1.437       -2.026           0.           0.         .000
      2891.355        2.241       -3.221        -.093         .807     ×ó          -.808        -.715       -1.161       -1.968        1.433       -2.060           0.           0.         .000
      2891.950        2.139       -2.993        -.300         .600     ×ó          -.710        -.410        -.899       -1.499        1.428       -2.094           0.           0.         .000
      2892.544        2.057       -2.768        -.500         .300     ×ó          -.632        -.132        -.639        -.939        1.424       -2.128           0.           0.         .000
      2893.139        2.198       -2.638        -.700         .300     ×ó          -.778        -.078        -.476        -.776        1.420       -2.163           0.           0.         .000
      2893.733        2.361       -2.293        -.895         .400     ×ó          -.946        -.051        -.096        -.496        1.416       -2.197           0.           0.         .000
      2894.328        2.411       -2.217        -.900         .400     ×ó         -1.000        -.100         .014        -.386        1.411       -2.231           0.           0.         .000
      2894.923        2.187       -2.284        -.754         .300     ×ó          -.780        -.026        -.019        -.319        1.407       -2.266           0.           0.         .000
      2895.517        2.014       -2.399        -.478         .100     ×ó          -.611        -.133        -.099        -.199        1.403       -2.300           0.           0.         .000
      2896.112        1.817       -2.628        -.102         .100     ×ó          -.419        -.316        -.294        -.394        1.398       -2.334           0.           0.         .000
      2896.706        1.819       -3.191         .100         .300     ×ó          -.425        -.525        -.822       -1.122        1.394       -2.368           0.           0.         .000
      2897.301        1.872       -3.802         .249         .500     ×ó          -.482        -.731       -1.400       -1.900        1.390       -2.403           0.           0.         .000
      2897.895        2.088       -3.982         .300         .400     ×ó          -.702       -1.002       -1.545       -1.945        1.385       -2.437           0.           0.         .000
      2898.490        2.215       -4.019         .400         .600     ×ó          -.834       -1.234       -1.547       -2.148        1.381       -2.471           0.           0.         .000
      2899.084        2.404       -3.726         .500         .976     ×ó         -1.027       -1.527       -1.221       -2.196        1.377       -2.506           0.           0.         .000
      2899.679        2.678       -3.216         .600        1.251     ×ó         -1.306       -1.906        -.676       -1.927        1.373       -2.540           0.           0.         .000
      2900.273        2.971       -2.917         .500        1.273     ×ó         -1.603       -2.103        -.342       -1.616        1.368       -2.574           0.           0.         .000
      2900.868        3.276       -2.685         .500         .897     ×ó         -1.912       -2.412        -.076        -.974        1.364       -2.608           0.           0.         .000
      2901.463        3.469       -2.461         .422         .600     ×ó         -2.110       -2.531         .181        -.419        1.360       -2.643           0.           0.         .000
      2902.057        3.558       -2.232         .400         .546     ×ó         -2.203       -2.603         .445        -.101        1.355       -2.677           0.           0.         .000
      2902.651        3.362       -2.333         .400         .500     ×ó         -2.011       -2.411         .378        -.122        1.351       -2.711           0.           0.         .000
      2903.246        3.550       -2.632         .400         .400     ×ó         -2.203       -2.603         .114        -.286        1.347       -2.746           0.           0.         .000
      2903.841        3.595       -2.868         .400         .500     ×ó         -2.252       -2.652        -.089        -.589        1.342       -2.780           0.           0.         .000
      2904.435        3.652       -3.010         .400         .600     ×ó         -2.314       -2.714        -.196        -.796        1.338       -2.814           0.           0.         .000
      2905.030        3.600       -3.147         .400         .600     ×ó         -2.266       -2.666        -.299        -.899        1.334       -2.848           0.           0.         .000
      2905.624        3.519       -3.491         .300         .400     ×ó         -2.189       -2.489        -.608       -1.008        1.330       -2.883           0.           0.         .000
      2906.219        3.580       -3.645         .300         .034     ×ó         -2.255       -2.555        -.728        -.762        1.325       -2.917           0.           0.         .000
      2906.813        3.773       -3.567         .400        -.359     ×ó         -2.452       -2.852        -.616        -.257        1.321       -2.951           0.           0.         .000
      2907.408        4.219       -3.207         .400        -.800     ×ó         -2.902       -3.302        -.222         .578        1.317       -2.985           0.           0.         .000
      2908.002        4.185       -2.870         .200        -.700     ×ó         -2.873       -3.073         .149         .849        1.312       -3.020           0.           0.         .000
      2908.597        3.720       -2.988        -.086        -.214     ×ó         -2.412       -2.326         .066         .280        1.308       -3.054           0.           0.         .000
      2909.191        3.561       -3.514        -.461         .100     ×ó         -2.257       -1.796        -.426        -.526        1.304       -3.088           0.           0.         .000
      2909.786        3.688       -4.164        -.700         .300     ×ó         -2.388       -1.688       -1.042       -1.342        1.299       -3.123           0.           0.         .000
      2910.381        3.679       -4.316        -.687         .413     ×ó         -2.384       -1.697       -1.160       -1.572        1.295       -3.157           0.           0.         .000
      2910.975        3.478       -4.213        -.412         .700     ×ó         -2.187       -1.775       -1.022       -1.722        1.291       -3.191           0.           0.         .000
      2911.570        3.109       -4.059        -.136         .700     ×ó         -1.822       -1.686        -.833       -1.533        1.287       -3.225           0.           0.         .000
      2912.164        2.767       -4.022         .000         .400     ×ó         -1.485       -1.485        -.762       -1.162        1.282       -3.260           0.           0.         .000
      2912.759        2.460       -4.145         .000        -.015     ×ó         -1.182       -1.182        -.851        -.836        1.278       -3.294           0.           0.         .000
      2913.353        2.642       -4.255        -.100        -.491     ×ó         -1.368       -1.268        -.927        -.436        1.274       -3.328           0.           0.         .000
      2913.948        2.546       -4.176        -.200        -.900     ×ó         -1.276       -1.076        -.814         .086        1.269       -3.363           0.           0.         .000
      2914.542        2.231       -3.956        -.100       -1.000     ×ó          -.966        -.866        -.559         .441        1.265       -3.397           0.           0.         .000
      2915.137        2.119       -3.789         .000       -1.200     ×ó          -.858        -.858        -.358         .842        1.261       -3.431           0.           0.         .000
      2915.731        2.247       -3.831        -.100       -1.100     ×ó          -.991        -.891        -.365         .735        1.256       -3.465           0.           0.         .000
      2916.326        2.272       -3.773        -.200        -.900     ×ó         -1.020        -.820        -.273         .627        1.252       -3.500           0.           0.         .000
      2916.920        2.265       -3.834        -.300        -.700     ×ó         -1.018        -.718        -.300         .400        1.248       -3.534           0.           0.         .000
      2917.515        2.345       -3.968        -.200        -.500     ×ó         -1.101        -.901        -.399         .101        1.243       -3.568           0.           0.         .000
      2918.109        2.488       -3.931        -.200        -.405     ×ó         -1.249       -1.049        -.328         .076        1.239       -3.603           0.           0.         .000
      2918.704        2.595       -3.893        -.100        -.500     ×ó         -1.360       -1.260        -.256         .244        1.235       -3.637           0.           0.         .000
      2919.298        2.510       -3.939        -.100        -.400     ×ó         -1.280       -1.180        -.268         .132        1.231       -3.671           0.           0.         .000
      2919.893        2.310       -4.103         .000         .022     ×ó         -1.083       -1.083        -.398        -.420        1.226       -3.705           0.           0.         .000
      2920.488        1.913       -4.136         .000         .498     ×ó          -.691        -.691        -.397        -.894        1.222       -3.740           0.           0.         .000
      2921.082        1.649       -4.465        -.100         .700     ×ó          -.432        -.332        -.691       -1.391        1.218       -3.774           0.           0.         .000
      2921.677        1.296       -4.723        -.100         .600     ×ó          -.083         .017        -.915       -1.515        1.213       -3.808           0.           0.         .000
      2922.271         .969       -4.856        -.100         .400     ×ó           .240         .340       -1.014       -1.414        1.209       -3.843           0.           0.         .000
      2922.866         .269       -4.823         .000         .300     ×ó           .936         .936        -.947       -1.246        1.205       -3.877           0.           0.         .000
      2923.460        -.271       -4.469         .000         .200     ×ó          1.471        1.471        -.558        -.758        1.200       -3.911           0.           0.         .000
      2924.055        -.420       -4.129        -.052        -.003     ×ó          1.616        1.667        -.217        -.213        1.196       -3.912           0.           0.         .000
      2924.649        -.388       -3.634        -.400        -.354     ×ó          1.580        1.980         .263         .618        1.192       -3.897           0.           0.         .000
      2925.244        -.050       -3.358        -.803        -.500     ×ó          1.238        2.040         .524        1.024        1.188       -3.882           0.           0.         .000
      2925.838         .117       -2.845       -1.178        -.521     ×ó          1.066        2.244        1.022        1.544        1.183       -3.867           0.           0.         .000
      2926.433         .434       -2.513       -1.300        -.500     ×ó           .745        2.045        1.339        1.839        1.179       -3.852           0.           0.         .000
      2927.027         .551       -2.335       -1.200        -.370     ×ó           .623        1.823        1.502        1.872        1.175       -3.837           0.           0.         .000
      2927.622         .777       -2.061        -.895        -.300     ×ó           .393        1.288        1.760        2.060        1.170       -3.821           0.           0.         .000
      2928.217        1.016       -1.869        -.419        -.100     ×ó           .150         .569        1.938        2.038        1.166       -3.806           0.           0.         .000
      2928.811        1.222       -1.574        -.543         .000     ×ó          -.060         .483        2.218        2.218        1.162       -3.791           0.           0.         .600
      2929.406        1.125       -1.425        -.968         .000     ×ó           .033        1.001        2.351        2.351        1.157       -3.776           0.           0.        1.400
      2930.000        1.134       -1.436       -1.292        -.208     ×ó           .019        1.311        2.326        2.533        1.153       -3.761           0.           0.        2.100
      2930.598        1.149       -1.487       -1.514        -.500     ×ó           .000        1.514        2.259        2.759        1.149       -3.746           0.           0.        2.900
      2931.195        1.263       -1.639       -1.472        -.500     ×ó          -.119        1.353        2.091        2.591        1.144       -3.731           0.           0.        3.700
      2931.793        1.225       -1.612       -1.174        -.600     ×ó          -.085        1.089        2.104        2.704        1.140       -3.716           0.           0.        4.400
      2932.391        1.634       -1.741        -.940        -.880     ×ó          -.498         .441        1.959        2.839        1.136       -3.700           0.           0.        5.200
      2932.988        1.869       -1.818        -.704        -.600     ×ó          -.737        -.034        1.867        2.467        1.132       -3.685           0.           0.        6.000
      2933.586        1.506       -2.379        -.648        -.100     ×ó          -.379         .268        1.291        1.391        1.127       -3.670           0.           0.        6.700
      2934.183        1.545       -2.553        -.592        -.100     ×ó          -.422         .169        1.102        1.202        1.123       -3.655           0.           0.        7.500
      2934.781        1.317       -2.460        -.336        -.200     ×ó          -.198         .138        1.179        1.379        1.119       -3.640           0.           0.        8.200
      2935.378        1.081       -2.175        -.079        -.200     ×ó           .033         .113        1.449        1.649        1.114       -3.625           0.           0.        9.000
      2935.976         .779       -1.847         .077         .200     ×ó           .331         .254        1.762        1.562        1.110       -3.609           0.           0.        9.800
      2936.574         .645       -1.827         .166         .500     ×ó           .461         .294        1.767        1.267        1.106       -3.594           0.           0.       10.500
      2937.171         .686       -1.999        -.056         .500     ×ó           .416         .471        1.580        1.080        1.101       -3.579           0.           0.       11.300
      2937.769         .688       -2.335        -.278         .278     ×ó           .409         .686        1.229         .951        1.097       -3.564           0.           0.       12.000
      2938.367        1.180       -2.480        -.500         .100     ×ó          -.087         .413        1.068         .968        1.093       -3.549           0.           0.       12.800
      2938.964        1.453       -2.660        -.722         .000     ×ó          -.365         .357         .873         .873        1.088       -3.533           0.           0.       13.600
      2939.562        1.714       -2.877        -.744        -.100     ×ó          -.630         .114         .641         .741        1.084       -3.518           0.           0.       14.300
      2940.159        2.067       -3.318        -.932        -.334     ×ó          -.988        -.056         .185         .519        1.080       -3.503           0.           0.       15.100
      2940.757        2.256       -3.717       -1.176        -.612     ×ó         -1.181        -.005        -.229         .383        1.075       -3.488           0.           0.       15.900
      2941.354        2.302       -3.827       -1.020        -.790     ×ó         -1.231        -.211        -.355         .436        1.071       -3.473           0.           0.       16.600
      2941.952        2.159       -3.544        -.864        -.432     ×ó         -1.093        -.229        -.087         .345        1.067       -3.458           0.           0.       17.400
      2942.550        1.974       -3.183        -.608         .046     ×ó          -.912        -.304         .260         .214        1.062       -3.442           0.           0.       18.100
      2943.147        1.807       -2.883        -.352         .500     ×ó          -.749        -.397         .545         .045        1.058       -3.427           0.           0.       18.900
      2943.745        1.643       -2.663        -.096         .802     ×ó          -.589        -.493         .749        -.053        1.054       -3.412           0.           0.       19.600
      2944.343        1.424       -2.659         .239        1.000     ×ó          -.374        -.614         .737        -.263        1.049       -3.397           0.           0.       20.400
      2944.940        1.278       -2.599         .473         .742     ×ó          -.233        -.706         .782         .040        1.045       -3.382           0.           0.       21.200
      2945.538         .954       -2.720         .936         .429     ×ó           .087        -.849         .646         .218        1.041       -3.367           0.           0.       21.900
      2946.135         .814       -2.765        1.214        -.214     ×ó           .223        -.991         .587         .800        1.036       -3.351           0.           0.       22.700
      2946.733         .527       -3.022        1.292        -.491     ×ó           .505        -.786         .314         .805        1.032       -3.336           0.           0.       23.500
      2947.331        -.006       -3.147        1.469        -.400     ×ó          1.034        -.435         .174         .574        1.028       -3.321           0.           0.       24.200
      2947.928        -.561       -3.442        1.395        -.300     ×ó          1.584         .190        -.136         .164        1.023       -3.306           0.           0.       25.000
      2948.526        -.976       -3.776        1.325        -.325     ×ó          1.995         .669        -.485        -.160        1.019       -3.291           0.           0.       25.700
      2949.123       -1.084       -4.219        1.103        -.400     ×ó          2.099         .996        -.943        -.543        1.015       -3.275           0.           0.       26.500
      2949.721       -1.097       -4.539         .781        -.600     ×ó          2.108        1.327       -1.279        -.679        1.010       -3.260           0.           0.       27.300
      2950.318        -.933       -4.522         .859        -.600     ×ó          1.939        1.080       -1.277        -.677        1.006       -3.245           0.           0.       28.000
      2950.916        -.586       -4.401         .874        -.700     ×ó          1.588         .714       -1.171        -.471        1.002       -3.230           0.           0.       28.800
      2951.514        -.082       -4.451         .815        -.900     ×ó          1.080         .265       -1.236        -.336         .997       -3.215           0.           0.       29.600
      2952.111         .228       -4.540         .692        -.900     ×ó           .765         .072       -1.340        -.440         .993       -3.200           0.           0.       30.300
      2952.709         .876       -4.425         .541        -.530     ×ó           .113        -.428       -1.241        -.711         .989       -3.184           0.           0.       31.100
      2953.307        1.597       -4.117         .448        -.600     ×ó          -.613       -1.061        -.947        -.348         .984       -3.169           0.           0.       31.800
      2953.904        2.143       -3.521         .326        -.626     ×ó         -1.163       -1.489        -.367         .259         .980       -3.154           0.           0.       32.600
      2954.502        2.659       -3.145         .004        -.696     ×ó         -1.683       -1.687        -.007         .689         .976       -3.139           0.           0.       33.400
      2955.099        3.007       -2.982        -.318        -.600     ×ó         -2.036       -1.718         .142         .742         .971       -3.124           0.           0.       34.100
      2955.697        3.276       -2.935        -.640        -.460     ×ó         -2.309       -1.669         .173         .633         .967       -3.108           0.           0.       34.900
      2956.295        3.340       -2.988        -.588        -.338     ×ó         -2.377       -1.789         .105         .442         .963       -3.093           0.           0.       35.600
      2956.892        3.873       -3.074        -.485        -.715     ×ó         -2.914       -2.430         .004         .719         .959       -3.078           0.           0.       36.400
      2957.490        4.505       -3.190        -.514        -.900     ×ó         -3.551       -3.037        -.127         .773         .954       -3.063           0.           0.       37.200
      2958.087        4.373       -3.043        -.558        -.929     ×ó         -3.423       -2.865         .005         .934         .950       -3.048           0.           0.       37.900
      2958.685        4.086       -3.184        -.651        -.151     ×ó         -3.141       -2.490        -.152        -.001         .946       -3.033           0.           0.       38.700
      2959.282        3.799       -2.965        -.773        -.100     ×ó         -2.858       -2.085         .053         .153         .941       -3.017           0.           0.       39.500
      2959.880        3.358       -2.835        -.791        -.404     ×ó         -2.421       -1.630         .167         .572         .937       -3.002           0.           0.       40.200
      2960.478        3.046       -2.925        -.818        -.582     ×ó         -2.113       -1.295         .063         .645         .933       -2.987           0.           0.       41.000
      2961.075        2.767       -2.937        -.780        -.500     ×ó         -1.839       -1.059         .035         .535         .928       -2.972           0.           0.       41.700
      2961.673        2.493       -2.836        -.662        -.362     ×ó         -1.569        -.907         .121         .483         .924       -2.957           0.           0.       42.400
      2962.271        2.021       -2.698        -.669         .000     ×ó         -1.102        -.433         .243         .243         .920       -2.942           0.           0.       43.300
      2962.868        1.798       -2.878        -.413         .093     ×ó          -.883        -.469         .049        -.045         .915       -2.926           0.           0.       44.000
      2963.466        1.786       -3.079        -.186         .371     ×ó          -.875        -.689        -.168        -.539         .911       -2.911           0.           0.       44.700
      2964.063        1.774       -3.411        -.102         .351     ×ó          -.867        -.765        -.515        -.866         .907       -2.896           0.           0.       45.500
      2964.661        1.709       -3.554        -.020        -.027     ×ó          -.807        -.787        -.673        -.647         .902       -2.881           0.           0.       46.300
      2965.258        1.946       -3.436         .109        -.600     ×ó         -1.048       -1.157        -.570         .030         .898       -2.866           0.           0.       47.100
      2965.856        1.996       -3.376         .365        -.800     ×ó         -1.102       -1.467        -.525         .275         .894       -2.850           0.           0.       47.700
      2966.454        1.991       -3.281         .260        -.900     ×ó         -1.101       -1.361        -.446         .454         .889       -2.835           0.           0.       48.500
      2967.051        2.038       -3.233        -.062        -.762     ×ó         -1.153       -1.091        -.413         .349         .885       -2.820           0.           0.       49.400
      2967.649        1.916       -3.024        -.084        -.600     ×ó         -1.036        -.951        -.219         .381         .881       -2.805           0.           0.       50.000
      2968.247        2.039       -2.889        -.307        -.600     ×ó         -1.163        -.856        -.099         .501         .876       -2.790           0.           0.       50.800
      2968.844        2.227       -2.705        -.429        -.300     ×ó         -1.355        -.926         .069         .369         .872       -2.775           0.           0.       51.500
      2969.442        2.563       -2.426        -.603         .100     ×ó         -1.695       -1.092         .333         .233         .868       -2.759           0.           0.       52.300
      2970.039        2.642       -2.235        -.574         .100     ×ó         -1.779       -1.205         .509         .409         .863       -2.744           0.           0.       53.100
      2970.637        2.424       -1.861        -.496        -.104     ×ó         -1.565       -1.069         .868         .972         .859       -2.729           0.           0.       53.800
      2971.235        2.285       -1.872        -.436        -.482     ×ó         -1.430        -.994         .842        1.324         .855       -2.714           0.           0.       54.600
      2971.832        2.137       -1.988        -.440        -.700     ×ó         -1.287        -.846         .711        1.411         .850       -2.699           0.           0.       55.400
      2972.430        2.048       -2.347        -.225        -.600     ×ó         -1.202        -.977         .337         .937         .846       -2.684           0.           0.       56.100
      2973.027        2.019       -2.675        -.170        -.400     ×ó         -1.177       -1.007        -.006         .394         .842       -2.668           0.           0.       56.900
      2973.625        2.037       -2.571         .085        -.400     ×ó         -1.199       -1.285         .082         .482         .837       -2.653           0.           0.       57.600
      2974.222        2.283       -2.650         .070         .170     ×ó         -1.450       -1.520        -.012        -.183         .833       -2.638           0.           0.       58.400
      2974.817        2.521       -2.688        -.200         .646     ×ó         -1.692       -1.492        -.065        -.711         .829       -2.623           0.           0.       59.200
      2975.412        3.145       -2.808        -.700         .921     ×ó         -2.321       -1.621        -.201       -1.122         .825       -2.608           0.           0.       60.000
      2976.006        3.875       -2.610       -1.204         .804     ×ó         -3.054       -1.851        -.017        -.821         .820       -2.593           0.           0.       60.700
      2976.601        4.754       -2.349       -1.929         .529     ×ó         -3.938       -2.010         .229        -.300         .816       -2.578           0.           0.       61.500
      2977.195        5.500       -2.126       -2.453         .547     ×ó         -4.688       -2.235         .437        -.110         .812       -2.563           0.           0.       62.200
      2977.790        6.120       -1.581       -2.778        1.022     ×ó         -5.313       -2.535         .966        -.056         .807       -2.547           0.           0.       62.900
      2978.384        6.952       -1.270       -3.203        1.400     ×ó         -6.149       -2.947        1.262        -.138         .803       -2.532           0.           0.       63.800
      2978.979        7.275       -1.197       -3.055        1.400     ×ó         -6.476       -3.421        1.320        -.080         .799       -2.517           0.           0.       64.500
      2979.574        7.214       -1.333       -2.905        1.400     ×ó         -6.420       -3.515        1.169        -.231         .794       -2.502           0.           0.       65.200
      2980.168        7.139       -1.752       -2.777        1.677     ×ó         -6.349       -3.572         .735        -.942         .790       -2.487           0.           0.       66.000
      2980.763        7.134       -2.202       -2.504        1.700     ×ó         -6.348       -3.845         .270       -1.430         .786       -2.472           0.           0.       66.800
      2981.357        6.910       -2.528       -2.053        1.873     ×ó         -6.128       -4.075        -.071       -1.945         .781       -2.457           0.           0.       67.500
      2981.952        6.617       -2.458       -1.655        1.651     ×ó         -5.840       -4.185        -.016       -1.668         .777       -2.442           0.           0.       68.300
      2982.546        6.366       -2.403       -1.253        1.176     ×ó         -5.593       -4.340         .023       -1.153         .773       -2.427           0.           0.       69.000
      2983.141        5.659       -2.686       -1.201         .900     ×ó         -4.891       -3.689        -.274       -1.174         .769       -2.412           0.           0.       69.800
      2983.735        4.749       -3.006        -.826         .326     ×ó         -3.984       -3.158        -.609        -.935         .764       -2.396           0.           0.       70.000
      2984.330        4.497       -3.114        -.551         .151     ×ó         -3.737       -3.186        -.732        -.883         .760       -2.381           0.           0.       70.000
      2984.925        4.251       -2.941        -.376        -.076     ×ó         -3.495       -3.120        -.574        -.499         .756       -2.366           0.           0.       70.000
      2985.519        4.075       -2.433        -.100         .000     ×ó         -3.323       -3.223        -.082        -.082         .751       -2.351           0.           0.       70.000
      2986.114        3.515       -1.838         .200         .275     ×ó         -2.768       -2.968         .498         .223         .747       -2.336           0.           0.       70.000
      2986.708        3.133       -1.426         .300         .450     ×ó         -2.390       -2.690         .894         .444         .743       -2.321           0.           0.       70.100
      2987.303        2.618       -1.161         .500         .625     ×ó         -1.879       -2.379        1.144         .519         .738       -2.306           0.           0.       70.000
      2987.897        2.299       -1.061         .500         .700     ×ó         -1.565       -2.065        1.230         .530         .734       -2.291           0.           0.       70.000
      2988.492        2.372        -.915         .476         .300     ×ó         -1.642       -2.118        1.361        1.061         .730       -2.276           0.           0.       70.000
      2989.086        2.033        -.594         .600         .249     ×ó         -1.300       -1.900        1.667        1.417         .733       -2.261           0.           0.       70.000
      2989.681        1.729        -.388         .800         .426     ×ó          -.988       -1.788        1.857        1.431         .741       -2.245           0.           0.       70.000
      2990.276        1.274        -.553        1.000         .400     ×ó          -.525       -1.525        1.677        1.277         .749       -2.230           0.           0.       70.000
      2990.870        1.015       -1.114         .900         .424     ×ó          -.257       -1.157        1.102         .678         .758       -2.215           0.           0.       70.000
      2991.465         .742       -1.789         .748         .300     ×ó           .024        -.725         .411         .111         .766       -2.200           0.           0.       70.000
      2992.059         .675       -2.421         .700         .300     ×ó           .099        -.601        -.236        -.536         .774       -2.185           0.           0.       70.000
      2992.654         .543       -2.559         .702         .800     ×ó           .239        -.463        -.389       -1.189         .782       -2.170           0.           0.       70.000
      2993.248         .309       -2.525         .877        1.177     ×ó           .481        -.396        -.370       -1.547         .790       -2.155           0.           0.       70.000
      2993.843         .378       -2.602        1.000         .900     ×ó           .421        -.579        -.451       -1.351         .798       -2.151           0.           0.       70.000
      2994.438         .403       -2.802        1.000         .472     ×ó           .404        -.596        -.650       -1.122         .807       -2.152           0.           0.       70.000
      2995.032         .175       -2.819         .900         .200     ×ó           .640        -.260        -.665        -.865         .815       -2.153           0.           0.       70.000
      2995.627        -.088       -2.842         .900         .100     ×ó           .911         .011        -.688        -.788         .823       -2.154           0.           0.       70.000
      2996.221        -.290       -2.870         .847         .147     ×ó          1.121         .274        -.714        -.861         .831       -2.155           0.           0.       70.000
      2996.816        -.521       -2.797         .900         .200     ×ó          1.360         .460        -.641        -.841         .839       -2.156           0.           0.       70.000
      2997.410        -.574       -2.942        1.000         .300     ×ó          1.421         .421        -.785       -1.085         .847       -2.157           0.           0.       70.000
      2998.005        -.848       -3.061        1.200         .600     ×ó          1.704         .504        -.903       -1.503         .856       -2.158           0.           0.       70.000
      2998.599       -1.048       -3.063        1.354        1.008     ×ó          1.912         .558        -.904       -1.911         .864       -2.159           0.           0.       70.000
      2999.194       -1.242       -3.192        1.400        1.171     ×ó          2.114         .714       -1.032       -2.203         .872       -2.160           0.           0.       70.000
      2999.789       -1.079       -3.423        1.300        1.096     ×ó          1.959         .659       -1.262       -2.358         .880       -2.161           0.           0.       70.000
      3000.383        -.931       -3.330        1.121        1.200     ×ó          1.819         .698       -1.168       -2.367         .888       -2.162           0.           0.       70.000
      3000.978        -.587       -2.868         .846        1.200     ×ó          1.483         .638        -.705       -1.905         .896       -2.163           0.           0.       70.000
      3001.572        -.432       -2.427         .541        1.300     ×ó          1.337         .796        -.263       -1.563         .905       -2.164           0.           0.       70.000
      3002.167        -.346       -2.267        -.010        1.200     ×ó          1.259        1.269        -.102       -1.302         .913       -2.165           0.           0.       70.000
      3002.761        -.085       -2.238        -.580        1.000     ×ó          1.006        1.586        -.072       -1.072         .921       -2.166           0.           0.       70.000
      3003.356         .092       -2.015        -.900        1.100     ×ó           .837        1.737         .151        -.949         .929       -2.167           0.           0.       70.000
      3003.950         .086       -1.888        -.900        1.300     ×ó           .851        1.751         .280       -1.020         .937       -2.168           0.           0.       70.000
      3004.545        -.023       -1.738        -.600        1.506     ×ó           .968        1.568         .431       -1.075         .946       -2.169           0.           0.       70.000
      3005.140        -.088       -1.836        -.300        1.600     ×ó          1.042        1.342         .334       -1.266         .954       -2.170           0.           0.       70.000
      3005.734        -.275       -2.221         .156        1.500     ×ó          1.236        1.080        -.051       -1.551         .962       -2.171           0.           0.       70.000
      3006.329        -.300       -2.695         .731        1.431     ×ó          1.270         .539        -.523       -1.955         .970       -2.172           0.           0.       70.000
      3006.923        -.417       -2.974        1.000        1.394     ×ó          1.395         .395        -.801       -2.195         .978       -2.173           0.           0.       70.000
      3007.518        -.378       -3.037        1.000        1.100     ×ó          1.364         .364        -.863       -1.963         .986       -2.174           0.           0.       70.000
      3008.112        -.380       -3.734         .743        1.043     ×ó          1.374         .631       -1.560       -2.603         .995       -2.175           0.           0.       70.000
      3008.707        -.120       -4.365         .068         .368     ×ó          1.123        1.055       -2.190       -2.557        1.003       -2.176           0.           0.       70.100
      3009.301         .045       -4.427        -.207        -.115     ×ó           .966        1.174       -2.250       -2.136        1.011       -2.177           0.           0.       70.000
      3009.896         .514       -4.230        -.400        -.300     ×ó           .505         .905       -2.052       -1.752        1.019       -2.178           0.           0.       69.900
      3010.491        1.138       -4.049        -.600         .258     ×ó          -.111         .489       -1.870       -2.128        1.027       -2.178           0.           0.       70.000
      3011.085        1.492       -4.069        -.700         .500     ×ó          -.456         .244       -1.890       -2.390        1.035       -2.179           0.           0.       70.000
      3011.680        1.826       -4.256        -.800         .192     ×ó          -.782         .018       -2.075       -2.267        1.044       -2.180           0.           0.       70.000
      3012.274        2.030       -4.424        -.800        -.183     ×ó          -.978        -.178       -2.242       -2.059        1.052       -2.181           0.           0.       69.900
      3012.869        1.982       -4.170        -.200        -.458     ×ó          -.922        -.722       -1.987       -1.529        1.060       -2.182           0.           0.       69.200
      3013.463        2.034       -3.808         .266        -.366     ×ó          -.966       -1.232       -1.625       -1.259        1.068       -2.183           0.           0.       68.400
      3014.058        2.291       -3.693         .382        -.100     ×ó         -1.215       -1.597       -1.508       -1.408        1.076       -2.184           0.           0.       67.700
